date,Gross_Capital_Formation_const_2015usd,Gross_Capital_Formation_annual_growth,Gross_Fixed_Capital_Formation_const_2015usd,Gross_Fixed_Capital_Formation_annual_growth,household_consu,Country_ISO
1977,,,765060368.978066,35.975271165735,4605859872.61147,SYR
1976,,,659629837.341979,31.9231547017189,4029157290.16339,SYR
1975,,,501783365.909742,25.4503082973249,3675405405.40541,SYR
1974,,,357937445.577026,19.6213316503629,3067842390.38478,SYR
1973,,,261046177.056097,18.1827400872123,1650166742.95429,SYR
1972,,,276413462.066906,17.5986129172085,1696073298.42932,SYR
1971,,,217276805.930123,14.5014351678522,1523298429.31937,SYR
1970,,,186254205.208191,13.3235294117647,1294240837.69634,SYR
1969,,,,15.9720176024474,1290929214.65969,SYR
1968,,,,13.905886815566,1105187251.3089,SYR
1967,,,,12.2643019893737,1086407565.44503,SYR
1966,,,,12.5293867574274,1030582251.3089,SYR
1965,,,,10.3345904794728,998167486.910995,SYR
1964,,,,,1042683769.63351,SYR
1963,,,,,919793795.811518,SYR
1962,,,,,780744281.842818,SYR
1961,,,,,723547821.22905,SYR
1960,,,,,666011815.642458,SYR
2021,,,,,,TJK
2020,,,,25.6122072566305,6972195041.61056,TJK
2019,,,,31.5088648941092,6328664064.46739,TJK
2018,,,,35.3885211204179,5933626191.10062,TJK
2017,,,,31.245780585806,6062271190.80202,TJK
2016,,,,40.0691363252255,5572954554.15598,TJK
2015,3696467686.7161,,3202430594.99278,38.7166570546395,5892132206.19493,TJK
2014,,,,26.1845441957946,9401328580.68697,TJK
2013,,5.01296869197579,,24.1894450213912,9852441123.37853,TJK
2012,,5.27752959845616,,21.7232482834713,8769022943.62243,TJK
2011,,5.57161304228944,,28.592901490135,7225933798.96751,TJK
2010,,5.90031340170624,,24.4893168360512,6259419958.89473,TJK
2009,,-1.05318897087795,,26.2932350873791,5178989547.8794,TJK
2008,,0.89771865011339,,24.5179872366861,5758008569.67966,TJK
2007,,80.906209894574,,23.2256099465809,4183587509.07771,TJK
2006,,-8.91555021494564,,15.482260690719,2433300994.42154,TJK
2005,,-43.2756164176067,,11.1189742735825,2047423474.29892,TJK
2004,,30.5399748202272,,10.3773126003275,1738427874.09527,TJK
2003,,9.27996380658809,,8.03755198050993,1300058796.62899,TJK
2002,,-5.89685884944505,,6.2957366752585,1036141963.02594,TJK
2001,,12.2758620689655,,8.98275996567595,886518843.267853,TJK
2000,,-41.190230025919,,7.42150333016175,647305302.701922,TJK
1999,,16.5415301615243,,16.6260817843866,860397479.398934,TJK
1998,,-17.4775596341751,,13.4242368087389,1077774916.30183,TJK
1997,,-10.2958724811566,,17.6792165187186,499072381.291126,TJK
1996,,-35.1621839187465,,13.2976977950713,534409475.465313,TJK
1995,,-31.275854296452,,21.2994269340974,684289241.622575,TJK
1994,,-26.5529608145817,,21.0455445544554,344338345.864662,TJK
1993,,,,11.2112126269341,209023255.813953,TJK
1992,,,,,,TJK
1991,,,,,,TJK
1990,,,,,,TJK
1989,,,,,,TJK
1988,,,,,,TJK
1987,,,,,,TJK
1986,,,,,,TJK
1985,,,,,,TJK
1984,,,,,,TJK
1983,,,,,,TJK
1982,,,,,,TJK
1981,,,,,,TJK
1980,,,,,,TJK
1979,,,,,,TJK
1978,,,,,,TJK
1977,,,,,,TJK
1976,,,,,,TJK
1975,,,,,,TJK
1974,,,,,,TJK
1973,,,,,,TJK
1972,,,,,,TJK
