"Reference_Name","ISO_639","Language_Type","DLS_Level","Raw_Score","Adjusted_Score","Proportional_Score","Content","Encoding","Surface","Localized","Meaning","Speech","Assistant"
"Maithili","mai","Living","Ascending",13,11.5771,0.420986,4,3.5534,1,1.9,0.7391,0.3846,0
"Shan","shn","Living","Ascending",13,11.5771,0.420986,4,3.5534,1,1.9,0.7391,0.3846,0
"Crimean Tatar","crh","Living","Ascending",13,11.5675,0.420636,4,3.5534,1,1.9,1.1141,0,0
"Cornish","cor","Living","Ascending",14,11.4041,0.414696,3.875,3.4127,1.2857,2.1307,0.7,0,0
"Kabyle","kab","Living","Ascending",14,11.4041,0.414696,3.875,3.4127,1.2857,2.1307,0.7,0,0
"Manx","glv","Living","Ascending",14,11.3406,0.412387,3.875,3.4127,1,2.1307,0.9222,0,0
"Eastern Canadian Inuktitut","ike","Living","Ascending",14,11.3406,0.412387,3.875,3.4127,1,2.1307,0.9222,0,0
"Kashubian","csb","Living","Ascending",13,11.3402,0.412372,4,2.8261,1,2.4,1.1141,0,0
"Morisyen","mfe","Living","Ascending",13,11.2925,0.410636,4,3.5534,1.625,1,1.1141,0,0
"Bashkir","bak","Living","Ascending",13,11.2248,0.408176,4,2.8261,1,1.9,1.1141,0.3846,0
"Akan","aka","Living","Ascending",14,11.1012,0.40368,3.875,3.4127,1.3357,1.7778,0.7,0,0
"Rundi","run","Living","Ascending",13,11.0084,0.400305,4,3.5534,1.7159,1,0.7391,0,0
"Silesian","szl","Living","Ascending",13,10.9652,0.398735,3,2.8261,1.625,2.4,1.1141,0,0
"Chuvash","chv","Living","Ascending",13,10.8987,0.396318,4,2,1,2.4,1.1141,0.3846,0
"Samoan","smo","Living","Ascending",14,10.876,0.395491,3.875,2.8571,1,2.1307,1.0131,0,0
"Tagalog","tgl","Living","Ascending",14,10.3046,0.374711,3.875,2,1.2857,2.1307,1.0131,0,0
"Dhivehi","div","Living","Ascending",12,10.1477,0.369009,3.9231,3.3504,1,1.4127,0.4615,0,0
"Yakut","sah","Living","Ascending",12,10.1477,0.369009,3.9231,3.3504,1,1.4127,0.4615,0,0
"Bambara","bam","Living","Ascending",12,10.0612,0.365862,3.9231,3.3504,1.375,1.4127,0,0,0
"Dzongkha","dzo","Living","Ascending",12,9.9215,0.360782,3.9231,3.3504,1,1.4127,0,0.2353,0
"Chechen","che","Living","Ascending",12,9.8737,0.359044,3.9231,3.3504,1,1.6002,0,0,0
"Scots","sco","Living","Ascending",12,9.8529,0.358286,3.9231,2.8889,1,1.4127,0.6282,0,0
"Bhojpuri","bho","Living","Ascending",12,9.7409,0.354216,3.9231,2.8889,1.375,0.8571,0.4615,0.2353,0
"Swiss German","gsw","Living","Ascending",12,9.7409,0.354216,3.9231,3.3504,1.375,0.8571,0,0.2353,0
"Koongo","kng","Living","Ascending",12,9.3152,0.338733,3.9231,2,1.5179,1.4127,0.4615,0,0
